น้ำผึ้ง,ต.บ้านอิฐ อ.เมืองอ่างทอง จ.อ่างทอง 14000,เขตพื้นที่การศึกษาอ่างทอง เขต 1
นากลาง,ต.แม่ศึก อ.แม่แจ่ม จ.เชียงใหม่ 50270,เขตพื้นที่การศึกษาเชียงใหม่ เขต 5
นากลาง สาขาห้วยผักกูด,ต.แม่ศึก อ.แม่แจ่ม จ.เชียงใหม่ 50270,เขตพื้นที่การศึกษาเชียงใหม่ เขต 5
นาฮ่อง,ต.แม่ศึก อ.แม่แจ่ม จ.เชียงใหม่ 50270,เขตพื้นที่การศึกษาเชียงใหม่ เขต 5
นาหวาย,ต.เมืองนะ อ.เชียงดาว จ.เชียงใหม่ 50170,เขตพื้นที่การศึกษาเชียงใหม่ เขต 3
น้ำริน,ต.ขี้เหล็ก อ.แม่ริม จ.เชียงใหม่,เขตพื้นที่การศึกษาเชียงใหม่ เขต 2
นาหืก,ต.สะลวง อ.แม่ริม จ.เชียงใหม่ 50330,เขตพื้นที่การศึกษาเชียงใหม่ เขต 2
น้ำต้น,ต.เหมืองแก้ว อ.แม่ริม จ.เชียงใหม่ 50180,เขตพื้นที่การศึกษาเชียงใหม่ เขต 2
นากู่,ต.แม่สาบ อ.สะเมิง จ.เชียงใหม่,เขตพื้นที่การศึกษาเชียงใหม่ เขต 2
นาบุญโหล่งขอด,ต.โหล่งขอด อ.พร้าว จ.เชียงใหม่,เขตพื้นที่การศึกษาเชียงใหม่ เขต 2
นางเหลียว,ต.หนองจ๊อม อ.สันทราย จ.เชียงใหม่ 50210,เขตพื้นที่การศึกษาเชียงใหม่ เขต 2
น้ำแพร่,ต.น้ำแพร่ อ.หางดง จ.เชียงใหม่ 50230,เขตพื้นที่การศึกษาเชียงใหม่ เขต 4
นาฟ่อน,ต.บ่อหลวง อ.ฮอด จ.เชียงใหม่ 50240,เขตพื้นที่การศึกษาเชียงใหม่ เขต 5
นาคอเรือ,ต.นาคอเรือ อ.ฮอด จ.เชียงใหม่ 50240,เขตพื้นที่การศึกษาเชียงใหม่ เขต 5
น้อยห้วยรินวิทยา,ต.บงตัน อ.ดอยเต่า จ.เชียงใหม่ 50260,เขตพื้นที่การศึกษาเชียงใหม่ เขต 5
นาไคร้,ต.ยางเปียง อ.อมก๋อย จ.เชียงใหม่ 50310,เขตพื้นที่การศึกษาเชียงใหม่ เขต 5
นาเกียน,ต.นาเกียน อ.อมก๋อย จ.เชียงใหม่ 50310,เขตพื้นที่การศึกษาเชียงใหม่ เขต 5
นามน,ต.เมืองแหง อ.เวียงแหง จ.เชียงใหม่ 50350,เขตพื้นที่การศึกษาเชียงใหม่ เขต 3
นากลาง,ต.ลี้ อ.ลี้ จ.ลำพูน 51110,เขตพื้นที่การศึกษาลำพูน เขต 2
นาทราย,ต.นาทราย อ.ลี้ จ.ลำพูน 51110,เขตพื้นที่การศึกษาลำพูน เขต 2
นาเลี่ยง,ต.นาทราย อ.ลี้ จ.ลำพูน 51110,เขตพื้นที่การศึกษาลำพูน เขต 2
น้ำย้อย,ต.นครเจดีย์ อ.ป่าซาง จ.ลำพูน 51120,เขตพื้นที่การศึกษาลำพูน เขต 1
นาสัก,ต.นาสัก อ.แม่เมาะ จ.ลำปาง 52220,เขตพื้นที่การศึกษาลำปาง เขต 1
นาแช่,ต.จางเหนือ อ.แม่เมาะ จ.ลำปาง 52220,เขตพื้นที่การศึกษาลำปาง เขต 1
นาแก้วประชารัฐ,ต.นาแก้ว อ.เกาะคา จ.ลำปาง 52130,เขตพื้นที่การศึกษาลำปาง เขต 2
นาแส่ง-แม่ไฮ-นากิ๋ม,ต.นาแส่ง อ.เกาะคา จ.ลำปาง 52130,เขตพื้นที่การศึกษาลำปาง เขต 2
นางแตน,ต.ท่าผา อ.เกาะคา จ.ลำปาง 52130,เขตพื้นที่การศึกษาลำปาง เขต 2
นาจะลา,ต.เสริมซ้าย อ.เสริมงาม จ.ลำปาง 52210,เขตพื้นที่การศึกษาลำปาง เขต 2
น้ำจำ,ต.หลวงใต้ อ.งาว จ.ลำปาง 52110,เขตพื้นที่การศึกษาลำปาง เขต 1
นางาม,ต.เมืองมาย อ.แจ้ห่ม จ.ลำปาง 52120,เขตพื้นที่การศึกษาลำปาง เขต 3
