ครัววิทยา,แขวงถนนเพชรบุรี เขตราชเทวี กรุงเทพมหานคร 10400,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 1
คลองบางกก,ต.นางตะเคียน อ.เมืองสมุทรสงคราม จ.สมุทรสงคราม 75000,เขตพื้นที่การศึกษาสมุทรสงคราม เขต 1
คลองสมบูรณ์,ต.แพรกหนามแดง อ.อัมพวา จ.สมุทรสงคราม 75110,เขตพื้นที่การศึกษาสมุทรสงคราม เขต 1
คีรีวงศ์,ต.หนองชุมพลเหนือ อ.เขาย้อย จ.เพชรบุรี 76140,เขตพื้นที่การศึกษาเพชรบุรี เขต 1
คลองมอญ,ต.ท่าแร้ง อ.บ้านแหลม จ.เพชรบุรี 76110,เขตพื้นที่การศึกษาเพชรบุรี เขต 1
คลองวาฬ,ต.คลองวาฬ อ.เมืองประจวบคีรีขันธ์ จ.ประจวบคีรีขันธ์ 77000,เขตพื้นที่การศึกษาประจวบคีรีขันธ์ เขต 1
คั่นกระได,ต.อ่าวน้อย อ.เมืองประจวบคีรีขันธ์ จ.ประจวบคีรีขันธ์ 77210,เขตพื้นที่การศึกษาประจวบคีรีขันธ์ เขต 1
คลองชายธง,ต.บ่อนอก อ.เมืองประจวบคีรีขันธ์ จ.ประจวบคีรีขันธ์ 77210,เขตพื้นที่การศึกษาประจวบคีรีขันธ์ เขต 1
คอกช้าง,ต.บ่อนอก อ.เมืองประจวบคีรีขันธ์ จ.ประจวบคีรีขันธ์ 77210,เขตพื้นที่การศึกษาประจวบคีรีขันธ์ เขต 1
คลองลอย,ต.ร่อนทอง อ.บางสะพาน จ.ประจวบคีรีขันธ์ 77230,เขตพื้นที่การศึกษาประจวบคีรีขันธ์ เขต 1
คอกช้างพัฒนา,ต.หนองพลับ อ.หัวหิน จ.ประจวบคีรีขันธ์ 77110,เขตพื้นที่การศึกษาประจวบคีรีขันธ์ เขต 2
คันธง,ต.ปากนคร อ.เมืองนครศรีธรรมราช จ.นครศรีธรรมราช 80000,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 1
คลองดิน,ต.นาเคียน อ.เมืองนครศรีธรรมราช จ.นครศรีธรรมราช 80000,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 1
คลองแคว,ต.พรหมโลก อ.พรหมคีรี จ.นครศรีธรรมราช 80320,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 4
คดศอก,ต.ขุนทะเล อ.ลานสกา จ.นครศรีธรรมราช 80230,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 1
ควนสวรรค์,ต.นาแว อ.ฉวาง จ.นครศรีธรรมราช 80260,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 2
คลองขัน,ต.กะเปียด อ.ฉวาง จ.นครศรีธรรมราช 80260,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 2
คลองสาย,ต.ห้วยปริก อ.ฉวาง จ.นครศรีธรรมราช 80260,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 2
ควน,ต.ไสหร้า อ.ฉวาง จ.นครศรีธรรมราช 80150,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 2
คุ้งวังวัว,ต.ควนกลาง อ.พิปูน จ.นครศรีธรรมราช 80270,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 2
คงคาล้อม,ต.แม่เจ้าอยู่หัว อ.เชียรใหญ่ จ.นครศรีธรรมราช 80190,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 3
ควนชิง,ต.เคร็ง อ.ชะอวด จ.นครศรีธรรมราช 80180,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 3
ควนมิตร,ต.วังอ่าง อ.ชะอวด จ.นครศรีธรรมราช 80180,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 3
ควนเงิน,ต.บ้านตูล อ.ชะอวด จ.นครศรีธรรมราช 80180,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 3
ควนมุด,ต.ควนหนองหงษ์ อ.ชะอวด จ.นครศรีธรรมราช 80180,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 3
ควนหนองหงส์,ต.ควนหนองหงษ์ อ.ชะอวด จ.นครศรีธรรมราช 80180,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 3
